country_name,year,pop_thous,gdp_US_mil,homicides_per_100_000,life_expectancy_years,unemployment_per,departures_thous,tourism_expenditures_US_mil,arrivals_thous,tourism_receipts_US_mil
Belarus,1995,10194000,13972676840.92,9.5,68.46,17.7,626000,101000000,160600,28000000
Brazil,1995,162019896,769305386182.85,20.9,68.32,6.42,2600000,3982000000,1991000,1085000000
Cambodia,1995,10656138,3441205692.92,3.7,55.19,2.53,31000,22000000,220000,71000000
Colombia,1995,36421438,92507279383.04,59.6,71.11,8.72,1057000,1162000000,1399000,887000000
Dominican Republic,1995,7819247,16598679279.07,12.8,68.16,6.49,168000,267000000,1776000,1571000000
Ecuador,1995,11455204,24432884442.22,12,70.97,4.92,271000,331000000,440000,315000000
El Salvador,1995,5628600,8921947100,142.2,67.28,7.65,348000,99000000,235000,152000000
Estonia,1995,1436634,4373665145.55,17.2,67.54,9.66,1764000,121000000,530000,452000000
Guatemala,1995,10408489,14655404433.28,31.3,65.09,2.9,333000,167000000,563000,216000000
Honduras,1995,5709014,5347445005.21,26.9,68.87,3.24,149000,99000000,271000,85000000
Iceland,1995,267468,7134341218.43,0,77.98,5.2,166000,282000000,190000,309000000
India,1995,963922588,360281961338.47,4.8,60.32,2.61,3056000,996000000,2124000,2582000000
Kyrgyz Republic,1995,4560400,1661018518.52,11.7,65.79,5.6,42000,7000000,36000,5000000
Latvia,1995,2485056,5788368511.12,11.5,66.39,19,1812000,62000000,539000,37000000
Lithuania,1995,3629102,7870782260.52,13.8,69.01,17.54,1925000,107000000,650000,102000000
Mexico,1995,91663285,360073909243.85,16.6,72.6,6.89,8450000,3587000000,20241000,6847000000
Nicaragua,1995,4652185,4140470000,15.3,67.34,7.6,255000,56000000,281000,51000000
Panama,1995,2739668,9573813700,13.8,74.09,3.96,185000,181000000,345000,372000000
Puerto Rico,1995,3683103,42647331000,23.4,74.12,13.93,1237000,1155000000,3131000,1828000000
Romania,1995,22684270,37435317265.13,3.3,69.46,8.01,5737000,749000000,5445000,689000000
Russian Federation,1995,148375726,395537185734.85,30.5,64.69,9.45,21329000,11599000000,10290000,4312000000
Sri Lanka,1995,18242912,13029697560.98,8.8,69.26,12.27,504000,279000000,403000,367000000
Tanzania,1995,29649135,5255221424.81,7,49.29,3.61,157000,360000000,285000,502000000
Thailand,1995,59467274,169278552851.27,7.6,70.19,1.1,1820000,4791000000,6952000,9257000000
United States,1995,266278000,7639749000000,8.1,75.62,5.65,51285000,61042000000,43318000,93743000000
"Venezuela, RB",1995,21931084,77407726244.34,20.2,71.32,10.24,534000,1852000000,700000,995000000
Australia,1995,18072000,367216364716.36,2,77.83,8.47,2519000,7605000000,3726000,10370000000
Canada,1995,29302311,604031623433.4,2,78.03,9.49,18206000,12658000000,16932000,9176000000
"Korea, Rep.",1995,45092991,556130926912.75,0.5,73.7,2.06,3819000,6947000000,3753000,6670000000
Norway,1995,4359184,152027402449.8,1,77.74,6.31,590000,4481000000,2880000,2730000000
Spain,1995,39724050,612939685081.4,1,77.98,22.67,3648000,5826000000,32971000,27369000000
Sweden,1995,8826939,264344412824.36,1,78.74,8.9,10127000,6816000000,2310000,4390000000
Finland,1995,5107790,134199346405.23,2.9,76.41,17,5147000,2853000000,1779000,2383000000
Hungary,1995,10328965,46418916500.35,2.9,69.79,10.17,13083000,1501000000,2878000,2938000000
Japan,1995,125439000,5449116304981.1,0.6,79.54,3.2,15298000,46966000000,3345000,4894000000
Ireland,1995,3608841,69222624368.69,1.2,75.62,11.98,2547000,2034000000,4818000,2697793000
Netherlands,1995,15459006,452301674444.14,1.2,77.4,7.16,12313000,13151000000,6574000,10611000000
Switzerland,1995,7040687,342617007103.59,1.2,78.42,3.33,11148000,9478000000,6946000,11354000000
France,1995,59541899,1601094756209.75,2.3,77.75,11.84,18686000,20699000000,60033000,31295000000
Ukraine,1995,51512299,48213868178.09,8.7,66.74,5.62,6552000,210000000,3716000,191000000
Malaysia,1995,20487607,88704944178.63,1.9,71.83,3.15,20642000,2722000000,7469000,5044000000
China,1995,1204855000,734547898220.51,2.2,69.89,3,4520000,3688000000,20034000,8730000000
Mauritius,1995,1122457,4040345933.29,2.2,70.33,9.59,107000,184000000,422000,616000000
Poland,1995,38594998,142137319587.63,2.2,71.89,13.34,36387000,5865000000,19215000,6927000000
Bulgaria,1995,8406067,18867559523.81,5.9,71.05,13.34,3524000,312000000,3466000,662000000
Jordan,1995,4588843,6727446632.42,0.8,70.89,14.6,1128000,719000000,1075000,973000000
Maldives,1995,254139,398988954.97,0.8,65.92,0.79,32000,41000000,315000,211000000
Cyprus,1995,855383,9933143596.38,1.1,77.31,3.51,360000,473482100,2100000,2019321000
Singapore,1995,3524506,87810991957.1,1.6,76.3,3.3,2867000,4663000000,6070000,7611000000
United Kingdom,1995,58019030,1335862395455.26,1.6,76.84,8.69,41345000,30749000000,21719000,27577000000
Israel,1995,5545000,100238675688.24,2.1,77.45,8.78,2259000,2626000000,2215000,3491000000
Fiji,1995,775425,1970347720.97,3.1,65.15,4.14,68000,82000000,318000,369000000
Costa Rica,1995,3545534,11513472785.72,5.2,76.58,5.18,273000,336000000,785000,763000000
Belarus,1996,10160000,14756846153.85,9.6,68.51,24.4,703000,142000000,234000,61000000
Brazil,1996,164614688,850426432991.74,21.6,68.69,7.25,3797000,4988000000,2666000,744000000
Colombia,1996,37076387,97160109277.81,61.4,71.5,11.81,929000,1431000000,631000,1362000000
Dominican Republic,1996,7952763,18241691857.35,12.9,68.42,6.5,358000,313000000,1926000,1781000000
Ecuador,1996,11703174,25226393196.6,12.5,71.35,4.98,275000,313000000,494000,330000000
El Salvador,1996,5689938,9586327800,119.7,67.65,7.68,492000,102000000,283000,155000000
Estonia,1996,1415594,4746109767.2,15.1,69.61,9.91,1547000,141000000,665000,565000000
Guatemala,1996,10646674,15674835615.31,34,65.68,2.92,333000,163000000,520000,221000000
India,1996,982365243,392897063750.68,4.8,60.78,2.66,3464000,913000000,2288000,2831000000
Kazakhstan,1996,15577894,21035357832.8,16.6,64.11,12.96,523000,364000000,202000,258000000
Latvia,1996,2457222,5970044665.65,10.8,68.78,20.7,1798000,407000000,565000,231000000
Lithuania,1996,3601613,8385109020.28,11.2,70.11,16.4,2864000,270000000,832000,345000000
Mexico,1996,93147044,410975595310.16,15.2,72.92,5.25,9001000,3963000000,21395000,7531000000
Nicaragua,1996,4741578,4308351902.79,14.1,67.8,7.53,282000,79000000,303000,55000000
Panama,1996,2796291,9870494000,8.9,74.3,4.05,188000,210000000,362000,432000000
Puerto Rico,1996,3724655,45340835000,23.3,74.36,13.64,1184000,1137000000,3065000,1898000000
Russian Federation,1996,148160042,391724890744.5,26.4,65.85,9.66,12260000,10011000000,16208000,7102000000
Sri Lanka,1996,18367288,13897738375.25,9.7,69.24,11.35,494000,267000000,302000,282000000
Turkmenistan,1996,4287346,2378759975.45,7.8,62.95,10.3,29000,74000000,217000,13000000
Ukraine,1996,51057189,44558077827.14,9.7,67.02,7.65,6004000,405000000,3854000,448000000
United States,1996,269394000,8073122000000,7.3,76.03,5.45,52999000,65477000000,46489000,102196000000
"Venezuela, RB",1996,22385650,70543211119.1,21.9,71.45,11.77,511000,2336000000,759000,1026000000
China,1996,1217550000,863746717503.79,2,70.14,3.1,5061000,4474000000,22765000,10200000000
France,1996,59753100,1605675086549.56,2,77.95,12.37,18151000,22049000000,62406000,32088000000
Finland,1996,5124573,132099404607.82,3,76.69,15.57,4918000,2760000000,1724000,2408000000
Mauritius,1996,1133996,4421943910.5,3,70.32,9.58,120000,205000000,487000,705000000
Japan,1996,125757000,4833712542207.1,0.5,80.2,3.4,16695000,46800000000,3837000,5775000000
"Korea, Rep.",1996,45524681,598099073901.42,0.5,74.15,2.05,4649000,8291000000,3684000,6350000000
Jordan,1996,4732854,6928359238.36,1,71.05,13.7,1141000,630000000,1106000,1026000000
Kuwait,1996,1626857,31493987641.95,1,72.85,0.7,1051000,2779000000,76000,389000000
Norway,1996,4381336,163517783497.16,1,78.15,5.04,692000,4759000000,2746000,2770000000
Spain,1996,39889852,640998292394.59,1,78.12,22.14,4224000,6332000000,34027000,29751000000
Bulgaria,1996,8362826,12184935356.94,5.3,70.9,13.51,3006000,314000000,2795000,541000000
Costa Rica,1996,3632362,11618286652.04,5.3,76.77,6.16,283000,357000000,781000,797000000
Belgium,1996,10156637,281358175895.77,1.2,77.19,9.48,5645000,8591000000,5829000,4844000000
Switzerland,1996,7071850,330091688349.52,1.2,78.9,3.7,12061000,9798000000,6730000,10779000000
Fiji,1996,784386,2129266728.43,1.7,65.17,4.12,72000,88000000,340000,374000000
Italy,1996,56860281,1308929351236.04,1.7,78.52,11.87,18173000,18619000000,32943000,31884000000
Poland,1996,38624370,159943251363.08,2.3,72.25,12.35,44713000,6357000000,19410000,8764000000
Netherlands,1996,15530498,450490196078.43,1.4,77.44,6.42,12807000,13709000000,6580000,11497000000
United Kingdom,1996,58166950,1409410296411.86,1.4,77.09,8.19,42050000,32298000000,22936000,29181000000
Australia,1996,18311000,400302731411.23,1.9,78.08,8.51,2732000,8545000000,4165000,11882000000
Romania,1996,22619004,36937074278.3,3.2,69.1,6.74,5748000,716000000,5205000,670000000
Cambodia,1996,10982917,3506695719.57,4.9,55.65,2.5,38000,31000000,260000,117000000
Tanzania,1996,30444526,6496195450.61,7.4,49.33,3.58,148000,412000000,315000,473000000
Thailand,1996,60130186,183035154107.49,7.4,70.22,1.07,1845000,4735000000,7244000,10367000000
Iceland,1996,268916,7438183246.62,0.4,78.78,3.6,190000,312000000,201000,312000000
Cyprus,1996,873423,10011919698.87,1.1,77.46,4,365000,500428500,1950000,1905403000
Ireland,1996,3637510,75880630166.33,1.1,75.83,11.72,2733000,2198000000,5289000,3022330000
Sweden,1996,8840998,288454816582.16,1.1,78.96,9.55,10390000,7642000000,2376000,4534000000
Canada,1996,29610218,628546387972.13,2.1,78.18,9.62,18973000,13815000000,17286000,10073000000
Israel,1996,5692000,109855414136.67,2.1,78.1,8.45,2505000,2849000000,2100000,3506000000
Malaysia,1996,21017613,100854996422.61,2.1,71.97,2.52,23333000,3032000000,7138000,5732000000
Hungary,1996,10311238,46659796772.55,2.6,70.33,10.02,12064000,1491000000,2979000,3589000000
Singapore,1996,3670704,96295886524.82,0.9,76.6,3.57,3305000,5015000000,6048000,7402000000
Denmark,1996,5263074,187632346387.98,1.3,75.59,6.84,5035000,4140000000,2125000,3420000000
Belarus,1997,10117000,14128408565.71,10.1,68.46,17.1,969000,122000000,253500,40000000
Brazil,1997,167209040,883199625324.68,22.2,69.06,8.16,4014000,6208000000,2850000,1025000000
Bulgaria,1997,8312068,11211546465.31,4.8,70.35,13.7,3059000,355000000,2980000,517000000
Colombia,1997,37723800,106659508271.26,60,71.89,12.14,1071000,1560000000,639000,1315000000
Costa Rica,1997,3718949,12552071488.01,5.7,76.95,5.68,288000,401000000,811000,860000000
Dominican Republic,1997,8084407,20017908829.33,12.7,68.68,6.52,355000,339000000,2211000,2099000000
Ecuador,1997,11951452,28162053026.51,11,71.72,4.99,321000,331000000,529000,335000000
El Salvador,1997,5746284,10221705900,114.8,67.98,7.98,627000,153000000,387000,149000000
Estonia,1997,1399535,5066240419.3,12.6,69.81,10.37,1616000,162000000,730000,597000000
Guatemala,1997,10887634,17790026221.61,36.7,66.26,2.93,331000,146000000,576000,270000000
India,1997,1000900030,415867763815.89,4.8,61.23,2.63,3726000,1342000000,2374000,2890000000
Kazakhstan,1997,15333703,22165932062.97,16.6,64.46,13.01,419000,494000000,284000,350000000
Latvia,1997,2432851,6525676264.21,11.1,69.35,14.9,1877000,379000000,635000,235000000
Lithuania,1997,3575137,10120274492.88,10.9,70.91,14.13,2981000,289000000,1012000,399000000
Mexico,1997,94611002,500413483109.17,13.9,73.27,4.05,8910000,4554000000,19351000,8184000000
Nicaragua,1997,4827661,4389965590.97,14.2,68.23,7.45,330000,86000000,358000,82000000
Panama,1997,2853913,10677286100,11,74.5,4.11,194000,243000000,421000,471000000
Puerto Rico,1997,3759430,48187039000,19.3,74.66,13.8,1251000,1235000000,3242000,2046000000
Russian Federation,1997,147915307,404928954191.88,23.7,66.7,11.81,11182000,10113000000,17463000,7164000000
Thailand,1997,60846582,150180268649.39,7.9,70.27,0.87,1660000,3752000000,7294000,9052000000
